You,System;
おはよう。世界。,おはよう6の疲れのせいで今日金曜みたい;
今日は火曜日です。,今日の東京駅Ver.3;
東京駅にいるの？,今日の東京駅Ver.3;
何をしてるの？,何をするにしても山越え必須だからね;
田舎に住んでるの？,のどか田舎た;
何県に住んでいる？,何をするにしても山越え必須だからね;
長野県？,長野県だと!?ふざけるな‼;
うるさい！！,それに関しては詳しくないです。今度勉強します。;
顔を洗って出直してこい。,顔表情たい、;
博多弁？,それに関しては詳しくないです。今度勉強します。;
どこに住んでいる？,どこをするにしても山越え必須だからね;
そればっかりやな,でもってこれがPさんちのよしのん;
よしのんってだれ？,それに関しては詳しくないです。今度勉強します。;
そうですか。勉強しろ。,勉強、気お付けて、頑張ってください💐;
お前がな,お前、必ず来るからね。;
は？,それに関しては詳しくないです。今度勉強します。;
挑発してんのか？,それに関しては詳しくないです。今度勉強します。;
馬鹿,呼ばわりはちょっと暖かいみたいだよー😉;
さようなら。,さようなら。;
